timestamp,role,raw_data
1765579595.5159347,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-10,7,-9,7,-10,7,-9,7,-9,7,-8,6,-8,7,-8,6,-8,6,-8,7,-8,6,-7,7,-7,7,-7,6,-7,6,-7,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-5,7,-5,8,-6,7,-5,8,0,0,-6,8,-6,8,-6,7,-6,8,-6,7,-6,7,-6,7,-6,7,-6,6,-6,7,-6,6,-6,6,-6,5,-6,5,-6,5,-6,4,-6,4,-6,4,-6,4,-6,3,-6,3,-6,3,-6,2,-6,2,-6,2,-5,1,0,0,0,0,0,0,0,0,0,0"
1765579595.5238519,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-11,5,-11,5,-11,5,-11,5,-10,5,-10,5,-10,5,-9,5,-9,5,-9,5,-9,5,-9,6,-9,6,-8,6,-8,5,-8,6,-8,6,-7,6,-7,7,-7,6,-7,6,-7,6,-6,6,-7,7,-7,7,-7,7,0,0,-7,7,-7,6,-7,7,-7,7,-8,6,-8,6,-7,6,-7,6,-7,5,-7,5,-8,5,-7,5,-7,4,-7,4,-7,4,-7,4,-7,3,-7,3,-7,3,-6,2,-6,2,-7,2,-6,1,-7,1,-6,1,-6,0,0,0,0,0,0,0,0,0,0,0"
1765579595.532475,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-12,3,-12,3,-12,3,-12,2,-12,3,-11,3,-11,3,-10,3,-10,3,-10,4,-10,3,-10,4,-10,4,-9,3,-9,3,-10,4,-9,4,-9,4,-8,5,-9,5,-8,4,-8,4,-8,4,-9,5,-9,5,-8,5,0,0,-9,5,-9,5,-9,5,-9,5,-9,4,-9,4,-9,4,-9,4,-9,3,-9,3,-9,3,-8,3,-8,2,-8,2,-8,2,-8,1,-8,1,-8,1,-8,1,-7,1,-7,0,-7,0,-7,0,-7,-1,-6,-1,-6,-2,0,0,0,0,0,0,0,0,0,0"
1765579595.539855,RX,"0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,8,8,8,7,8,7,8,7,7,7,7,7,7,6,7,7,6,7,7,7,6,7,6,7,5,7,5,8,6,7,5,7,5,7,4,7,4,7,4,7,4,7,4,8,4,8,4,8,4,0,0,8,4,8,4,8,4,8,5,7,4,7,5,7,5,7,5,7,5,7,5,7,5,6,5,6,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,3,5,3,5,3,5,2,5,1,5,1,4,0,0,0,0,0,0,0,0,0,0"
1765579595.5484295,RX,"0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,11,1,11,1,11,1,10,1,10,1,10,1,9,1,9,2,9,1,9,2,9,2,9,2,8,2,8,3,9,3,8,3,8,3,7,3,8,3,7,3,7,3,7,4,8,4,8,4,8,0,0,4,8,4,8,4,8,4,8,3,7,3,8,3,8,3,7,2,8,2,8,2,8,2,7,2,7,1,7,1,7,1,7,1,7,1,6,0,6,0,6,0,6,0,5,-1,5,-1,5,-1,5,-2,4,0,0,0,0,0,0,0,0,0,0"
1765579595.560527,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-6,-10,-7,-11,-7,-10,-6,-10,-6,-10,-6,-10,-6,-9,-6,-9,-6,-9,-7,-8,-6,-9,-7,-8,-7,-8,-6,-8,-7,-8,-7,-8,-7,-8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-8,-7,-7,-7,-8,-7,0,0,-7,-7,-7,-7,-7,-8,-7,-7,-7,-7,-7,-7,-6,-8,-6,-7,-6,-7,-5,-7,-5,-8,-5,-7,-4,-7,-5,-7,-4,-7,-4,-7,-3,-7,-3,-7,-3,-7,-3,-7,-2,-7,-2,-6,-2,-6,-1,-6,-1,-6,-1,-6,0,0,0,0,0,0,0,0,0,0"
1765579595.571453,RX,"0,0,0,0,0,0,0,0,0,0,0,0,2,-12,2,-12,2,-12,2,-11,2,-11,1,-11,1,-11,1,-10,1,-11,0,-11,1,-11,0,-11,0,-10,0,-10,0,-10,-1,-10,-1,-10,-1,-10,-1,-9,-1,-10,-1,-9,-2,-9,-2,-9,-2,-10,-2,-10,-2,-10,0,0,-2,-10,-2,-10,-2,-10,-2,-11,-1,-10,-1,-10,-1,-10,-1,-9,-1,-9,-1,-10,0,-10,0,-8,0,-8,0,-8,0,-8,0,-8,1,-8,1,-8,1,-7,1,-7,1,-7,1,-6,2,-6,2,-6,2,-5,2,-5,0,0,0,0,0,0,0,0,0,0"
1765579595.580811,RX,"0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,3,11,2,10,3,10,3,10,3,10,3,9,3,9,3,9,3,9,4,9,4,8,4,8,3,8,4,8,4,8,4,7,5,7,4,7,4,7,4,7,5,7,5,7,5,8,5,8,0,0,5,8,5,7,5,7,5,8,5,7,4,8,4,7,4,7,4,8,4,7,3,8,3,7,2,7,2,7,2,7,2,7,2,7,1,7,1,6,1,6,0,6,0,6,0,6,0,6,-1,5,-1,5,0,0,0,0,0,0,0,0,0,0"
1765579595.5895522,RX,"0,0,0,0,0,0,0,0,0,0,0,0,2,11,3,11,3,11,2,11,2,10,3,10,3,10,3,9,3,9,3,9,3,9,4,9,4,9,3,8,3,8,4,8,4,8,4,8,5,8,4,7,4,7,5,7,5,7,5,7,5,7,5,8,0,0,5,8,5,7,5,8,5,8,5,8,4,8,4,8,4,7,4,8,4,7,4,8,3,7,3,7,3,7,2,7,2,7,2,7,2,7,2,6,1,6,1,6,0,6,0,6,0,5,-1,5,-1,5,0,0,0,0,0,0,0,0,0,0"
1765579595.5986218,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-8,9,-8,9,-8,9,-8,9,-8,8,-7,8,-7,8,-6,8,-7,8,-6,8,-6,8,-6,8,-6,8,-5,8,-5,8,-5,8,-5,8,-4,7,-4,9,-4,8,-4,8,-4,8,-4,8,-4,9,-4,9,-4,9,0,0,-4,9,-5,8,-5,9,-4,8,-5,8,-5,8,-5,8,-5,8,-5,7,-5,7,-5,7,-5,6,-5,6,-5,6,-5,5,-6,6,-6,5,-5,5,-5,4,-5,4,-5,4,-5,3,-5,3,-6,3,-5,2,-5,2,0,0,0,0,0,0,0,0,0,0"
