timestamp,role,raw_data
1765579586.008542,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-7,-10,-7,-10,-7,-10,-7,-11,-7,-10,-6,-9,-7,-9,-7,-8,-7,-8,-7,-8,-6,-8,-7,-8,-7,-8,-7,-8,-7,-7,-7,-8,-8,-7,-7,-7,-8,-7,-8,-6,-7,-6,-8,-6,-7,-6,-8,-6,-8,-7,-8,-7,0,0,-8,-7,-8,-7,-8,-7,-8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-7,-6,-7,-6,-8,-6,-7,-5,-7,-5,-7,-5,-7,-5,-7,-4,-7,-4,-7,-4,-7,-4,-6,-3,-6,-3,-6,-2,-6,-2,-6,-2,-6,-1,-6,0,0,0,0,0,0,0,0,0,0"
1765579586.0175061,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-11,5,-10,6,-10,6,-10,5,-10,5,-9,6,-9,6,-9,6,-9,5,-8,6,-9,6,-9,6,-8,6,-8,6,-7,5,-8,7,-7,7,-7,6,-7,6,-6,6,-6,6,-6,7,-6,6,-6,7,-7,7,-7,7,0,0,-6,7,-7,7,-7,7,-7,7,-7,6,-7,7,-7,6,-7,6,-7,6,-7,6,-7,6,-7,5,-7,4,-7,4,-7,4,-7,4,-7,4,-7,4,-6,3,-6,3,-6,2,-6,2,-6,1,-6,1,-6,1,-6,0,0,0,0,0,0,0,0,0,0,0"
1765579586.028598,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-1,-12,-2,-12,-2,-12,-1,-12,-2,-11,-2,-11,-2,-11,-3,-11,-2,-10,-3,-10,-2,-11,-3,-11,-3,-10,-3,-10,-3,-9,-3,-10,-3,-9,-3,-9,-4,-9,-4,-9,-4,-8,-4,-9,-4,-9,-5,-9,-4,-9,-4,-9,0,0,-4,-9,-4,-9,-4,-10,-4,-10,-4,-9,-3,-9,-3,-10,-4,-9,-3,-9,-3,-9,-2,-9,-2,-8,-2,-8,-2,-9,-1,-8,-1,-8,-1,-8,0,-8,0,-8,0,-7,0,-7,0,-7,0,-6,1,-7,1,-6,2,-6,0,0,0,0,0,0,0,0,0,0"
1765579586.0372748,RX,"0,0,0,0,0,0,0,0,0,0,0,0,7,-10,7,-10,7,-10,7,-9,6,-9,6,-9,5,-10,5,-9,5,-9,5,-9,5,-9,5,-10,4,-9,4,-9,4,-9,4,-10,3,-10,3,-9,3,-10,3,-9,3,-9,3,-9,2,-9,2,-10,3,-10,3,-10,0,0,3,-10,3,-9,3,-10,3,-10,3,-9,3,-9,3,-9,3,-9,4,-9,3,-9,4,-9,4,-8,4,-8,4,-7,4,-7,4,-7,4,-7,4,-7,4,-6,4,-6,4,-5,4,-5,4,-4,4,-4,5,-4,4,-3,0,0,0,0,0,0,0,0,0,0"
1765579586.0471494,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-4,-11,-5,-11,-6,-12,-5,-11,-5,-11,-5,-10,-5,-10,-5,-10,-5,-10,-6,-9,-5,-10,-6,-9,-6,-9,-6,-8,-5,-8,-6,-9,-6,-8,-6,-8,-7,-8,-6,-8,-6,-7,-7,-7,-6,-7,-7,-7,-7,-8,-7,-7,0,0,-7,-8,-7,-8,-7,-8,-7,-8,-7,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-5,-8,-5,-7,-5,-8,-4,-8,-4,-8,-4,-8,-4,-7,-3,-7,-3,-7,-3,-7,-2,-7,-2,-6,-2,-7,-1,-6,-1,-6,0,-6,0,0,0,0,0,0,0,0,0,0"
1765579586.056038,RX,"0,0,0,0,0,0,0,0,0,0,0,0,8,-9,8,-9,8,-9,8,-8,7,-8,7,-8,7,-8,6,-8,6,-8,6,-8,6,-8,6,-9,5,-8,5,-8,5,-8,5,-9,4,-9,4,-9,4,-9,4,-9,4,-8,4,-9,3,-9,3,-9,4,-9,4,-10,0,0,4,-10,4,-9,4,-9,4,-9,4,-9,4,-9,4,-8,4,-8,4,-8,4,-8,5,-8,5,-7,5,-7,5,-7,5,-6,5,-7,5,-6,5,-6,5,-5,5,-5,5,-5,4,-4,4,-4,5,-3,5,-3,5,-3,0,0,0,0,0,0,0,0,0,0"
1765579586.0676572,RX,"0,0,0,0,0,0,0,0,0,0,0,0,6,-10,5,-10,5,-10,5,-9,5,-9,4,-9,4,-10,4,-9,4,-9,3,-9,4,-9,3,-10,3,-9,3,-9,2,-8,3,-9,2,-9,2,-9,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,0,0,1,-10,1,-9,1,-9,1,-10,1,-9,2,-9,2,-9,2,-9,2,-9,2,-9,3,-8,2,-8,3,-7,3,-7,3,-7,3,-7,3,-7,3,-6,3,-6,3,-6,3,-6,3,-5,3,-5,3,-4,3,-4,3,-4,0,0,0,0,0,0,0,0,0,0"
1765579586.076191,RX,"0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1,11,1,11,1,10,1,10,1,10,0,10,0,9,0,9,0,9,0,10,-1,10,-1,9,-1,9,-1,9,-1,9,-2,8,-2,9,-2,9,-2,8,-2,9,-2,8,-2,9,-3,9,-2,9,-3,0,0,9,-2,9,-2,9,-2,9,-2,9,-2,9,-1,9,-1,9,-1,8,-1,8,-1,8,-1,8,0,8,0,8,0,7,0,7,0,7,1,7,1,7,1,6,1,6,1,5,2,5,2,5,2,5,2,4,2,0,0,0,0,0,0,0,0,0,0"
1765579586.0854263,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-13,1,-12,1,-12,1,-12,0,-12,1,-11,1,-11,2,-11,2,-10,1,-10,2,-11,2,-11,2,-10,2,-10,2,-9,2,-10,3,-9,3,-9,3,-9,4,-9,3,-9,3,-9,3,-9,4,-9,4,-9,4,-9,4,0,0,-9,4,-9,4,-9,4,-9,4,-9,3,-9,3,-9,3,-9,3,-9,3,-9,3,-9,2,-9,2,-9,2,-9,1,-8,1,-8,1,-8,1,-8,1,-8,0,-7,0,-7,0,-7,0,-7,-1,-7,-1,-6,-1,-6,-2,0,0,0,0,0,0,0,0,0,0"
1765579586.0940294,RX,"0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1,12,1,11,1,10,1,10,0,11,-1,10,-1,10,-1,10,-1,10,0,10,-1,10,-1,9,-1,9,-1,9,-2,9,-2,9,-2,9,-2,9,-3,8,-2,9,-3,8,-3,9,-3,9,-2,9,-3,0,0,9,-3,9,-3,9,-3,9,-3,9,-2,9,-3,9,-2,9,-2,9,-2,9,-2,9,-1,8,-1,8,-1,8,-1,8,0,7,0,7,0,7,0,7,0,6,0,6,0,6,1,6,1,5,1,5,2,5,2,0,0,0,0,0,0,0,0,0,0"
