timestamp,role,type,data
1766172376.7150593,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,10,6,10,5,10,6,10,6,10,6,10,6,9,6,10,7,9,6,9,7,9,7,9,7,9,7,9,8,9,8,8,8,8,9,8,8,8,8,8,9,8,9,7,11,8,10,8,11,8,0,0,11,8,11,9,11,9,11,9,10,8,10,9,10,9,10,9,10,10,10,9,10,10,9,9,9,9,8,9,8,10,8,9,8,10,7,10,7,9,6,9,5,9,5,9,5,9,4,9,3,9,3,8,0,0,0,0,0,0,0,0,0,0"
1766172376.7346609,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,6,10,6,11,6,10,7,9,6,10,6,10,6,10,5,10,5,10,5,10,5,11,5,11,5,11,4,10,4,12,4,12,3,11,3,12,2,12,3,11,2,12,2,12,2,13,2,13,2,14,2,0,0,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,2,14,3,14,2,14,4,13,3,13,3,13,3,12,4,12,4,11,4,11,4,11,4,10,4,10,5,9,4,9,5,8,5,8,5,7,6,0,0,0,0,0,0,0,0,0,0"
1766172376.7598543,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-4,-12,-5,-11,-5,-12,-4,-13,-4,-12,-6,-12,-6,-12,-5,-12,-5,-11,-6,-10,-6,-12,-7,-12,-7,-10,-6,-11,-6,-11,-8,-11,-9,-11,-7,-11,-9,-11,-9,-10,-9,-10,-9,-10,-9,-10,-10,-10,-9,-11,-10,-11,0,0,-11,-10,-10,-11,-10,-11,-11,-11,-10,-11,-10,-11,-10,-11,-10,-10,-10,-11,-10,-11,-10,-11,-9,-11,-9,-11,-8,-11,-8,-11,-8,-11,-7,-11,-7,-11,-7,-11,-6,-10,-6,-10,-5,-10,-5,-10,-4,-10,-3,-9,-2,-9,0,0,0,0,0,0,0,0,0,0"
1766172376.7871318,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,-8,-9,-10,-10,-8,-9,-10,-9,-9,-9,-9,-10,-8,-10,-8,-9,-8,-11,-7,-9,-8,-11,-8,-10,-7,-10,-7,-10,-7,-11,-6,-11,-7,-10,-6,-12,-5,-12,-5,-11,-5,-12,-5,-12,-4,-13,-5,-12,-5,-14,-5,0,0,-14,-5,-13,-4,-13,-5,-14,-5,-14,-5,-14,-5,-14,-5,-14,-5,-13,-5,-13,-5,-13,-6,-13,-6,-12,-6,-12,-6,-11,-6,-12,-6,-11,-6,-11,-6,-10,-6,-10,-6,-10,-6,-9,-6,-8,-7,-8,-7,-7,-7,-6,-7,0,0,0,0,0,0,0,0,0,0"
1766172376.8094387,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-10,7,-10,9,-10,9,-10,8,-8,9,-9,8,-9,8,-8,8,-9,8,-8,9,-8,8,-8,9,-9,9,-7,9,-8,9,-8,9,-7,11,-7,10,-6,11,-6,11,-6,10,-7,11,-6,10,-6,11,-6,11,-6,12,0,0,-6,12,-7,12,-7,12,-6,12,-7,11,-7,12,-7,12,-7,12,-7,12,-7,11,-8,11,-7,10,-7,10,-8,10,-8,9,-8,9,-7,9,-8,8,-7,8,-7,8,-8,7,-8,7,-7,6,-8,5,-8,5,-8,4,0,0,0,0,0,0,0,0,0,0"
1766172376.8311214,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,3,11,4,12,4,10,5,10,4,11,3,11,3,12,3,11,3,11,2,12,3,12,2,12,1,12,2,12,1,12,1,12,0,12,0,13,-1,12,0,12,0,12,-1,12,-1,13,-2,13,-2,14,-2,0,0,14,-3,14,-2,14,-2,14,-2,14,-2,14,-2,14,-2,13,-2,14,-1,14,-2,14,-1,13,-1,13,-1,13,-1,13,0,12,0,12,0,12,1,12,1,11,1,11,1,10,2,9,2,9,2,9,2,8,3,0,0,0,0,0,0,0,0,0,0"
1766172376.8524888,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-1,11,-1,11,-1,12,-1,12,-1,12,0,11,0,12,0,11,0,12,1,12,0,12,1,12,1,12,1,12,1,11,2,12,3,12,3,11,4,12,3,12,3,11,4,12,4,11,5,12,5,12,5,13,0,0,6,13,5,13,5,13,6,14,5,13,5,13,5,13,5,13,4,14,5,13,4,14,4,12,3,13,3,13,3,13,2,13,2,13,2,12,1,12,1,11,1,11,0,11,0,10,-1,10,-1,9,-2,9,0,0,0,0,0,0,0,0,0,0"
1766172376.8738034,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,1,11,0,11,0,11,1,11,1,11,1,11,1,11,2,11,1,11,2,12,3,11,3,11,3,11,3,11,4,11,4,10,5,11,5,11,5,10,6,10,6,10,7,11,6,11,7,12,0,0,7,12,7,12,7,13,8,12,7,11,7,12,7,12,7,12,7,13,6,12,6,12,6,12,6,12,6,12,5,11,5,12,4,11,4,12,4,11,4,10,3,11,3,10,2,10,1,10,1,9,0,9,0,0,0,0,0,0,0,0,0,0"
1766172376.8926604,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,7,9,7,8,8,8,7,8,7,9,7,9,6,9,7,9,6,9,6,10,6,9,6,10,6,9,5,10,6,10,5,10,4,11,4,11,4,10,4,11,4,11,3,12,3,12,4,12,4,0,0,13,4,12,4,13,4,13,4,12,4,13,4,12,5,12,4,12,5,12,4,12,5,11,5,11,5,11,5,10,6,10,6,10,6,10,6,9,6,8,6,8,6,7,6,7,6,7,6,6,6,5,6,0,0,0,0,0,0,0,0,0,0"
1766172376.9148235,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,-2,-13,-2,-14,0,-13,-1,-13,-1,-13,-1,-13,0,-13,-1,-12,0,-13,0,-13,-1,-14,0,-13,0,-13,0,-13,1,-13,1,-13,2,-13,2,-13,3,-14,3,-12,2,-13,3,-13,4,-14,4,-14,3,-14,4,0,0,-15,4,-14,4,-14,4,-15,4,-14,4,-15,4,-15,3,-14,3,-15,3,-14,3,-15,2,-13,2,-14,2,-14,2,-13,1,-13,1,-13,1,-13,1,-13,0,-12,0,-12,-1,-11,-1,-11,-1,-11,-2,-10,-3,-10,-3,0,0,0,0,0,0,0,0,0,0"
1766172376.9445965,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-5,-11,-5,-12,-5,-11,-5,-12,-5,-12,-4,-12,-4,-12,-4,-12,-4,-12,-3,-12,-4,-13,-3,-13,-3,-13,-3,-12,-2,-14,-2,-13,-1,-13,-1,-13,0,-13,0,-13,0,-14,0,-13,0,-15,1,-14,1,-15,1,0,0,-15,1,-15,1,-15,1,-16,2,-15,1,-16,1,-16,1,-15,1,-15,0,-15,0,-16,0,-14,0,-14,0,-14,-1,-14,-1,-14,-1,-14,-2,-13,-1,-13,-2,-12,-2,-12,-2,-11,-3,-11,-3,-11,-4,-10,-4,-9,-4,0,0,0,0,0,0,0,0,0,0"
1766172376.964753,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,9,4,10,5,11,5,11,5,9,6,9,6,9,5,9,6,10,6,10,7,10,8,10,7,9,8,8,8,9,9,8,9,8,10,7,9,7,9,6,10,7,9,7,11,7,10,8,11,8,0,0,12,7,12,8,12,7,12,7,11,7,12,8,12,7,12,7,11,8,11,8,11,8,10,8,10,8,10,8,9,8,9,8,8,8,8,8,8,8,8,8,7,8,7,7,6,7,6,8,5,8,4,8,0,0,0,0,0,0,0,0,0,0"
1766172376.9863288,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,-2,12,-1,12,-1,12,-1,11,-2,10,-3,12,-3,11,-3,12,-2,11,-3,12,-3,12,-4,11,-4,11,-4,11,-4,12,-5,11,-6,11,-6,12,-6,11,-6,11,-6,11,-6,10,-7,11,-8,12,-7,12,-9,0,0,12,-9,12,-8,12,-8,12,-9,12,-8,12,-8,13,-8,12,-8,13,-7,12,-8,13,-7,12,-7,12,-6,12,-6,12,-6,12,-5,12,-5,11,-5,11,-4,11,-4,10,-4,10,-3,10,-3,10,-2,9,-2,9,-1,0,0,0,0,0,0,0,0,0,0"
1766172377.002805,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,11,2,11,1,12,2,11,2,11,3,11,3,11,3,11,4,11,3,11,4,12,4,11,4,11,4,11,5,12,6,11,6,10,7,11,7,11,6,10,7,11,7,10,8,10,8,11,9,11,0,0,9,11,9,11,9,12,9,12,9,11,9,12,9,12,8,11,8,12,8,11,8,12,7,11,7,11,7,12,6,11,6,12,6,11,6,11,5,11,5,10,4,10,3,10,3,10,2,10,2,9,1,9,0,0,0,0,0,0,0,0,0,0"
