timestamp,role,type,data
1766172364.9378872,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-5,-11,-5,-11,-5,-11,-4,-12,-6,-11,-5,-11,-6,-11,-5,-9,-6,-10,-6,-10,-6,-10,-7,-10,-6,-10,-7,-9,-6,-9,-8,-10,-8,-8,-7,-8,-8,-8,-7,-8,-7,-8,-8,-8,-8,-8,-9,-8,-9,-8,-9,-8,0,0,-10,-8,-10,-9,-10,-8,-10,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-7,-9,-7,-9,-7,-9,-7,-9,-7,-9,-6,-9,-6,-9,-5,-9,-5,-8,-4,-8,-4,-8,-3,-9,-3,-8,-2,-8,-1,-8,0,0,0,0,0,0,0,0,0,0"
1766172364.9593596,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,-5,-12,-6,-12,-3,-12,-6,-12,-3,-11,-4,-11,-3,-10,-4,-11,-3,-10,-2,-12,-3,-12,-2,-12,-2,-11,-1,-10,-2,-12,-1,-11,0,-11,-1,-11,0,-11,0,-11,0,-11,0,-11,0,-12,1,-12,0,-12,1,0,0,-12,1,-13,1,-13,1,-13,2,-12,0,-12,1,-12,0,-12,0,-12,0,-12,0,-12,0,-11,-1,-11,-1,-11,-1,-11,-2,-11,-2,-11,-2,-10,-2,-10,-2,-9,-2,-9,-3,-9,-3,-8,-3,-8,-4,-7,-4,-7,-4,0,0,0,0,0,0,0,0,0,0"
1766172364.9811137,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,-11,-5,-12,-5,-11,-6,-11,-6,-10,-5,-11,-5,-9,-5,-11,-4,-11,-4,-12,-4,-11,-3,-11,-3,-11,-2,-10,-3,-12,-2,-11,-1,-10,-2,-10,-1,-11,-1,-10,-1,-11,-1,-11,-1,-11,0,-12,0,-12,0,0,0,-12,0,-12,0,-13,0,-13,0,-12,-1,-12,0,-12,0,-12,0,-12,-1,-13,-1,-12,-1,-11,-2,-11,-2,-11,-2,-11,-2,-11,-3,-11,-2,-10,-3,-10,-3,-9,-3,-9,-3,-9,-4,-8,-4,-8,-5,-7,-5,-6,-5,0,0,0,0,0,0,0,0,0,0"
1766172365.0037208,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-6,-11,-6,-10,-7,-10,-6,-11,-6,-10,-6,-10,-7,-10,-7,-9,-7,-9,-7,-8,-7,-10,-8,-9,-7,-8,-8,-8,-7,-8,-9,-8,-9,-7,-8,-7,-8,-7,-8,-7,-8,-7,-9,-7,-8,-6,-10,-6,-10,-7,-10,-7,0,0,-10,-6,-10,-7,-11,-7,-11,-7,-9,-7,-10,-7,-10,-7,-9,-7,-10,-7,-10,-7,-9,-8,-8,-7,-8,-8,-8,-8,-8,-8,-7,-8,-7,-8,-7,-8,-6,-8,-6,-7,-6,-8,-5,-7,-4,-7,-4,-8,-3,-7,-2,-7,0,0,0,0,0,0,0,0,0,0"
1766172365.0249548,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-4,-11,-3,-12,-4,-11,-3,-12,-4,-11,-4,-10,-4,-10,-4,-9,-5,-9,-6,-9,-6,-11,-7,-9,-6,-10,-6,-9,-6,-9,-7,-9,-7,-8,-7,-8,-8,-7,-7,-8,-7,-8,-8,-8,-7,-7,-8,-7,-9,-8,-9,-8,0,0,-9,-7,-9,-8,-10,-8,-10,-8,-9,-8,-9,-8,-9,-8,-8,-8,-9,-8,-8,-8,-9,-8,-8,-8,-8,-8,-7,-8,-7,-8,-7,-8,-7,-8,-6,-8,-6,-8,-5,-8,-5,-8,-5,-8,-4,-8,-4,-8,-3,-7,-2,-7,0,0,0,0,0,0,0,0,0,0"
1766172365.0454092,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,-8,-9,-8,-10,-7,-9,-8,-9,-7,-9,-7,-9,-7,-9,-6,-9,-6,-9,-6,-9,-7,-11,-6,-10,-6,-10,-5,-9,-5,-11,-5,-11,-4,-10,-4,-10,-3,-10,-4,-10,-4,-11,-4,-10,-4,-11,-3,-11,-3,-12,-3,0,0,-12,-3,-12,-4,-12,-4,-12,-3,-11,-4,-12,-4,-12,-4,-11,-4,-11,-4,-11,-5,-11,-5,-10,-5,-10,-5,-10,-5,-10,-5,-9,-5,-9,-6,-9,-6,-8,-6,-8,-6,-7,-6,-7,-6,-6,-6,-6,-7,-5,-6,-5,-6,0,0,0,0,0,0,0,0,0,0"
1766172365.0744967,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-7,-9,-7,-9,-7,-9,-7,-9,-7,-9,-6,-9,-7,-8,-7,-7,-7,-8,-7,-7,-8,-8,-8,-7,-8,-7,-8,-7,-7,-7,-10,-7,-9,-6,-9,-6,-9,-5,-9,-5,-8,-6,-9,-5,-9,-5,-10,-4,-10,-5,-10,-5,0,0,-11,-5,-11,-5,-11,-5,-12,-5,-10,-5,-11,-5,-10,-5,-10,-5,-11,-5,-10,-6,-10,-6,-9,-6,-9,-6,-8,-6,-9,-6,-9,-6,-9,-6,-8,-6,-7,-6,-7,-6,-6,-6,-6,-6,-5,-7,-5,-7,-5,-7,-4,-6,0,0,0,0,0,0,0,0,0,0"
1766172365.0965629,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,7,-9,7,-8,8,-9,8,-8,8,-8,7,-7,8,-7,7,-7,8,-6,7,-7,8,-6,9,-6,9,-6,9,-6,8,-5,10,-4,9,-4,8,-4,9,-4,9,-4,9,-4,10,-3,9,-3,10,-3,10,-3,10,0,0,-2,11,-3,11,-3,11,-3,11,-4,10,-4,10,-4,11,-3,10,-4,11,-3,10,-4,10,-4,9,-4,9,-5,9,-5,9,-5,9,-5,9,-5,8,-5,8,-5,7,-5,7,-5,6,-6,5,-6,5,-6,5,-7,4,0,0,0,0,0,0,0,0,0,0"
1766172365.1248412,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-5,-10,-5,-11,-5,-11,-5,-11,-5,-10,-5,-10,-4,-10,-4,-10,-4,-10,-3,-11,-4,-11,-2,-11,-2,-11,-2,-10,-3,-12,-2,-11,-1,-10,-1,-10,-1,-10,-1,-10,-1,-11,0,-10,0,-11,1,-12,0,-11,1,0,0,-12,1,-12,0,-12,1,-13,1,-11,0,-12,0,-12,1,-11,0,-12,0,-12,-1,-12,-1,-11,-1,-11,-1,-11,-2,-11,-2,-11,-2,-10,-2,-10,-2,-10,-3,-9,-3,-8,-3,-9,-3,-8,-4,-8,-4,-7,-4,-6,-5,0,0,0,0,0,0,0,0,0,0"
1766172365.1496656,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,5,-9,5,-9,5,-9,6,-9,4,-8,4,-8,4,-9,4,-8,3,-8,3,-9,4,-9,2,-9,3,-9,2,-9,2,-9,2,-10,1,-9,1,-8,1,-9,1,-9,1,-9,0,-9,0,-9,-1,-10,0,-10,0,-10,0,0,-1,-10,0,-11,-1,-11,0,-11,0,-10,0,-10,0,-10,-1,-10,0,-10,0,-10,0,-10,1,-9,1,-9,1,-9,2,-9,1,-9,1,-9,2,-8,2,-8,2,-8,2,-8,2,-8,2,-7,3,-7,3,-6,3,-5,0,0,0,0,0,0,0,0,0,0"
