timestamp,role,type,data
1766172364.9171755,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,-7,8,-7,8,-8,8,-7,8,-7,7,-6,7,-7,6,-6,7,-7,6,-6,7,-7,5,-8,6,-7,5,-7,5,-6,5,-8,4,-8,4,-7,4,-7,4,-7,4,-6,4,-7,4,-7,4,-8,4,-8,4,-8,0,0,3,-8,4,-8,4,-8,4,-8,4,-7,4,-7,4,-7,4,-7,4,-7,4,-7,4,-7,4,-6,4,-6,4,-5,4,-5,4,-5,4,-5,4,-5,4,-4,4,-4,4,-3,4,-3,4,-3,4,-3,4,-2,3,-2,0,0,0,0,0,0,0,0,0,0"
1766172364.9410956,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-12,-1,-12,0,-12,0,-11,0,-11,0,-11,0,-10,0,-11,-1,-10,0,-11,-1,-11,-1,-10,-1,-10,-1,-9,-2,-11,-2,-9,-2,-9,-2,-8,-2,-9,-2,-9,-3,-9,-2,-9,-3,-9,-3,-9,-3,-9,0,0,-3,-9,-3,-10,-3,-9,-3,-10,-2,-8,-2,-9,-2,-9,-2,-8,-2,-9,-1,-9,-1,-9,-1,-8,0,-8,0,-7,0,-8,0,-7,0,-7,0,-7,0,-6,0,-6,1,-6,1,-6,1,-6,2,-5,2,-5,2,-4,0,0,0,0,0,0,0,0,0,0"
1766172364.9599726,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-1,11,-1,11,0,11,-1,11,-1,10,-1,10,-1,10,-1,9,-1,10,0,9,0,10,1,10,0,9,0,9,0,8,1,10,1,8,1,8,1,8,1,8,1,8,1,8,1,7,2,8,2,8,2,8,0,0,2,8,1,8,2,8,2,8,1,8,1,8,1,8,1,7,0,8,0,7,0,8,-1,7,-1,7,-1,7,-1,6,-1,6,-1,6,-1,6,-2,6,-2,5,-2,5,-2,5,-2,4,-3,4,-3,4,-3,3,0,0,0,0,0,0,0,0,0,0"
1766172364.983004,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-4,-12,-4,-11,-5,-11,-4,-11,-4,-11,-4,-10,-5,-10,-4,-9,-4,-10,-4,-9,-5,-10,-5,-9,-5,-9,-5,-9,-4,-8,-6,-9,-6,-8,-5,-8,-5,-7,-6,-7,-5,-7,-6,-7,-5,-7,-6,-7,-6,-8,-6,-8,0,0,-7,-7,-6,-8,-6,-8,-6,-8,-5,-7,-5,-8,-6,-7,-5,-7,-5,-8,-5,-7,-4,-8,-4,-7,-4,-7,-3,-7,-3,-7,-3,-7,-3,-7,-3,-6,-3,-6,-2,-6,-2,-6,-2,-6,-1,-6,-1,-5,0,-5,0,-5,0,0,0,0,0,0,0,0,0,0"
1766172364.9995177,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,-1,11,0,10,0,10,0,10,-1,9,-1,9,-1,9,-1,10,-1,9,-2,9,-1,9,-2,8,-1,9,-2,8,-3,8,-2,8,-3,8,-3,8,-2,8,-3,7,-2,8,-3,8,-3,8,-3,0,0,8,-3,8,-3,9,-3,8,-3,8,-2,8,-2,8,-2,7,-2,8,-2,7,-2,7,-1,7,-1,7,-1,7,-1,6,0,6,0,6,0,6,0,6,0,5,0,5,1,5,1,4,1,4,1,4,2,3,2,0,0,0,0,0,0,0,0,0,0"
1766172365.0148804,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,9,6,9,7,8,6,8,6,8,6,7,5,8,5,8,4,8,5,9,4,8,4,8,4,7,4,8,4,8,3,7,3,8,3,8,3,7,3,8,3,7,3,8,2,8,2,8,2,0,0,8,2,8,3,9,3,8,2,8,3,8,3,8,3,7,3,7,3,7,3,7,3,6,3,6,3,6,3,5,3,5,4,5,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0"
1766172365.0373595,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,-8,8,-8,7,-9,8,-8,7,-8,7,-7,7,-8,6,-8,6,-8,6,-8,6,-8,5,-8,5,-8,5,-8,5,-7,5,-9,4,-8,4,-8,3,-8,4,-8,4,-7,4,-8,3,-7,3,-9,3,-9,3,-8,0,0,3,-9,4,-9,4,-9,3,-9,4,-8,4,-8,4,-8,4,-7,4,-8,4,-7,4,-7,4,-6,4,-6,4,-6,4,-6,4,-6,4,-6,4,-5,4,-5,3,-4,4,-4,4,-4,4,-3,4,-3,4,-3,4,-2,0,0,0,0,0,0,0,0,0,0"
1766172365.0562942,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-6,9,-6,9,-5,9,-6,9,-6,8,-6,8,-5,8,-5,8,-5,8,-4,7,-5,8,-4,8,-4,8,-4,8,-4,7,-3,9,-3,8,-3,7,-2,7,-3,7,-3,7,-2,8,-2,7,-2,8,-3,8,-2,8,0,0,-2,8,-3,8,-2,8,-2,8,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,7,-3,6,-3,6,-3,6,-3,5,-3,5,-4,5,-3,5,-3,4,-4,4,-4,4,-4,3,-4,3,-4,3,-4,2,-4,2,0,0,0,0,0,0,0,0,0,0"
1766172365.0719895,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,-7,9,-7,8,-8,9,-8,8,-7,8,-7,8,-7,7,-7,7,-7,7,-7,7,-7,6,-8,6,-7,6,-7,6,-7,6,-8,5,-8,5,-7,4,-7,5,-7,5,-7,4,-8,4,-7,4,-8,5,-8,4,-8,0,0,4,-8,5,-8,5,-8,4,-8,5,-7,5,-7,5,-7,5,-7,4,-7,4,-7,5,-7,5,-6,5,-6,5,-5,5,-5,5,-5,5,-5,4,-4,4,-4,4,-4,4,-3,4,-3,4,-3,4,-3,4,-2,4,-2,0,0,0,0,0,0,0,0,0,0"
1766172365.088605,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,7,-9,7,-8,7,-10,7,-9,7,-8,6,-8,7,-7,6,-7,7,-7,6,-8,7,-7,7,-7,6,-7,7,-6,6,-6,8,-5,7,-5,7,-5,7,-5,7,-5,6,-5,7,-5,6,-5,7,-5,7,-5,7,0,0,-4,8,-5,7,-5,8,-5,8,-5,7,-5,7,-5,7,-5,6,-5,6,-5,6,-6,6,-5,5,-5,5,-5,5,-5,4,-5,4,-5,4,-5,4,-5,4,-5,3,-5,3,-5,3,-5,2,-5,2,-5,1,-5,1,0,0,0,0,0,0,0,0,0,0"
