ts,type,data
1766188162.1304386,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-6,-11,-6,-11,-7,-10,-6,-11,-6,-10,-6,-10,-6,-9,-6,-9,-6,-9,-7,-8,-6,-9,-7,-9,-7,-8,-7,-8,-7,-8,-7,-8,-8,-7,-7,-6,-8,-6,-7,-7,-7,-7,-7,-6,-7,-6,-8,-6,-8,-7,-8,-6,0,0,-8,-7,-7,-7,-8,-7,-8,-6,-7,-7,-7,-7,-7,-7,-8,-7,-6,-8,-7,-7,-5,-6,-5,-7,-6,-6,-5,-7,-4,-7,-4,-6,-3,-7,-3,-5,-3,-7,-3,-7,-1,-4,-2,-5,-1,-6,0,-9,-2,-7,0,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.1461813,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1,12,0,11,1,11,1,10,1,10,0,10,0,10,-1,10,-1,10,-1,9,-1,9,-2,9,-1,8,-2,9,-2,9,-2,8,-2,9,-3,9,-2,8,-2,8,-3,7,-3,8,-4,8,-3,9,-3,0,0,9,-3,8,-3,8,-3,9,-3,8,-2,9,-2,8,-2,8,-2,9,-2,8,-1,8,-2,7,-2,7,-1,7,-1,8,0,8,0,6,0,6,-1,6,0,7,-1,4,0,3,1,6,-1,6,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0"
1766188162.1638284,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1,11,1,11,2,11,1,10,1,10,1,10,0,9,1,9,0,9,0,10,0,10,-1,9,0,8,-1,9,-1,9,-2,8,-2,8,-2,9,-1,8,-1,8,-2,8,-1,9,-3,9,-2,9,-2,0,0,8,-2,9,-1,9,-2,9,-2,8,-2,9,-1,9,-1,8,-1,8,0,8,0,8,-1,7,0,7,0,7,0,7,1,7,1,6,1,7,1,6,1,5,2,5,2,5,2,5,2,5,2,4,2,3,3,0,0,0,0,0,0,0,0,0,0"
1766188162.1797817,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,11,3,11,2,11,2,10,2,10,3,10,3,9,3,9,3,9,3,9,3,9,3,9,3,9,3,8,4,8,4,8,4,7,4,7,4,7,4,7,5,7,4,7,5,7,4,7,5,7,0,0,5,7,5,8,5,8,5,7,4,7,4,7,4,7,4,7,3,7,3,7,3,7,2,7,2,7,2,7,2,7,2,7,1,7,1,6,1,6,1,6,0,6,0,6,0,5,-1,5,-1,5,-1,5,0,0,0,0,0,0,0,0,0,0"
1766188162.197578,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,3,-12,3,-11,3,-11,4,-11,3,-10,3,-10,3,-10,2,-10,3,-10,1,-10,2,-10,1,-10,1,-10,1,-9,1,-9,1,-10,0,-10,0,-9,0,-10,0,-9,0,-9,0,-9,0,-9,-1,-10,-1,-9,-1,-10,0,0,-1,-10,0,-9,0,-10,0,-10,0,-9,0,-9,1,-9,0,-9,1,-9,1,-9,1,-9,1,-8,1,-8,1,-8,2,-7,2,-7,2,-7,2,-7,2,-7,2,-6,2,-6,3,-6,3,-5,3,-5,3,-4,3,-4,0,0,0,0,0,0,0,0,0,0"
1766188162.2162557,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-6,8,-7,8,-6,9,-7,8,-6,8,-6,8,-6,8,-5,8,-5,8,-4,8,-5,8,-4,8,-4,8,-4,7,-4,7,-4,8,-3,8,-3,7,-3,8,-3,8,-3,7,-3,8,-2,7,-2,8,-3,8,-3,8,0,0,-3,8,-3,8,-3,8,-3,8,-3,8,-3,8,-3,7,-3,7,-4,7,-3,7,-4,7,-3,6,-4,6,-4,6,-4,5,-4,5,-4,5,-4,5,-5,5,-4,4,-4,4,-4,3,-5,3,-5,3,-4,2,-4,2,0,0,0,0,0,0,0,0,0,0"
1766188162.2362885,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-6,-11,-5,-11,-6,-10,-5,-11,-5,-10,-6,-10,-5,-10,-6,-9,-5,-9,-6,-8,-6,-9,-6,-9,-6,-8,-6,-8,-6,-8,-6,-8,-7,-8,-6,-7,-7,-7,-6,-7,-6,-7,-7,-7,-7,-6,-7,-7,-7,-7,-7,-7,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-6,-7,-7,-7,-6,-7,-6,-7,-6,-7,-6,-7,-5,-7,-5,-7,-5,-7,-5,-7,-4,-7,-4,-7,-4,-7,-4,-7,-3,-7,-3,-6,-3,-6,-2,-6,-2,-6,-1,-6,-1,-6,-1,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.2552135,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-3,-12,-3,-12,-3,-12,-2,-11,-3,-11,-3,-11,-3,-11,-3,-10,-3,-10,-4,-10,-3,-10,-4,-10,-4,-9,-3,-9,-4,-9,-4,-10,-4,-9,-4,-9,-5,-9,-4,-9,-4,-8,-5,-9,-4,-8,-5,-9,-4,-8,-5,-8,0,0,-5,-8,-4,-9,-5,-9,-5,-8,-4,-8,-4,-8,-4,-9,-3,-8,-4,-8,-3,-8,-3,-9,-2,-8,-2,-8,-2,-8,-2,-8,-1,-8,-1,-7,-1,-7,-1,-7,-1,-7,0,-7,0,-6,1,-6,0,-6,1,-5,1,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.271822,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,-8,8,-8,8,-8,8,-8,8,-7,7,-7,7,-7,7,-7,6,-7,6,-7,6,-7,6,-8,5,-8,5,-7,5,-7,5,-8,5,-8,5,-7,5,-8,4,-7,4,-7,4,-8,4,-7,4,-8,4,-8,4,-8,0,0,4,-8,4,-8,5,-8,4,-8,4,-7,5,-7,5,-7,5,-7,5,-7,4,-7,5,-7,5,-6,5,-6,5,-6,5,-5,5,-5,5,-5,5,-4,5,-4,5,-4,5,-4,5,-3,5,-3,4,-2,4,-2,4,-1,0,0,0,0,0,0,0,0,0,0"
1766188162.289401,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,-2,11,-2,11,-2,11,-1,10,-2,10,-2,10,-2,10,-2,10,-2,9,-3,9,-2,9,-3,9,-3,9,-3,8,-3,9,-3,9,-4,8,-4,8,-5,8,-4,8,-4,8,-5,7,-4,8,-5,8,-5,8,-5,0,0,8,-5,8,-5,8,-5,8,-5,8,-4,8,-4,8,-4,8,-4,8,-4,8,-3,8,-3,7,-3,7,-3,7,-2,7,-2,7,-2,7,-2,6,-1,7,-2,6,-1,6,-1,6,0,5,0,5,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0"
